영업소코드,영업소명,고속도로운영기관구분코드,TCS노선번호,TCS본부코드,TCS지사코드,영업형태구분코드,영업방식구분코드,전화번호,가동영업소여부,입구차로수,출구차로수,가변차로수,민자마지막IC여부,가상영업소여부
281,매송,00,015,901,210700,0,2,031-327-2114,Y,3,9,0,N,N
282,비봉,00,015,901,210700,0,2,031-327-2115,Y,3,5,0,N,N
283,발안,00,015,901,210700,0,2,031-327-2116,Y,3,5,0,N,N
285,서평택,00,015,901,210700,0,2,031-327-2117,Y,4,8,0,N,N
287,송악,00,015,903,410700,0,2,041-411-2410,Y,3,6,0,N,N
288,당진,00,015,903,410700,0,2,041-411-2409,Y,4,8,0,N,N
298,서산,00,015,903,410700,0,2,041-411-2417,Y,2,10,0,N,N
299,해미,00,015,903,410700,0,2,041-411-2419,Y,2,10,0,N,N
427,군산(특),00,015,927,810500,0,0,,N,0,0,0,N,Y
428,동군산(특),00,015,927,810200,0,0,,N,0,0,0,N,Y
434,서천(특),00,015,927,810500,0,0,,N,0,0,0,N,Y
453,서서울(특),00,015,901,210800,0,0,0334-73-6583,N,2,4,0,N,Y
457,홍성(특),00,015,903,410700,0,0,,N,0,0,0,N,Y
458,광천(특),00,015,927,810500,0,0,,N,0,0,0,N,Y
459,대천(특),00,015,927,810500,0,0,,N,0,0,0,N,Y
460,춘장대(특),00,015,927,810500,0,0,,N,0,0,0,N,Y
481,매송(특),00,015,901,210700,0,0,0345-83-9661,N,4,9,0,N,Y
482,비봉(특),00,015,901,210700,0,0,0345-83-9661,N,2,3,0,N,Y
483,발안(특),00,015,901,210700,0,0,0345-83-9661,N,2,3,0,N,Y
485,서평택(특),00,015,901,210700,0,0,0345-83-9661,N,2,4,0,N,Y
487,송악(특),00,015,903,410700,0,0,0345-83-9661,N,2,4,0,N,Y
488,당진(특),00,015,903,410700,0,0,0345-8309661,N,2,4,0,N,Y
498,서산(특),00,015,903,410700,0,0,,N,0,0,0,N,Y
499,해미(특),00,015,903,410700,0,0,,N,0,0,0,N,Y
501,서김제,00,015,927,810200,0,2,063-712-2507,Y,1,10,0,N,N
502,부안,00,015,927,810200,0,2,063-712-2515,Y,1,10,0,N,N
503,줄포,00,015,927,810200,0,2,063-712-2516,Y,1,10,0,N,N
504,선운산,00,015,927,810200,0,2,063-712-2502,Y,1,10,0,N,N
505,고창,00,015,927,810200,0,2,063-712-2501,Y,1,10,0,N,N
506,영광,00,015,904,510500,0,2,061-882-2629,Y,1,10,0,N,N
507,함평,00,015,904,510500,0,2,061-882-2637,Y,1,10,0,N,N
508,무안,00,015,904,510500,0,2,061-882-2616,Y,2,10,0,N,N
509,목포,00,015,904,510500,0,2,061-882-2618,Y,3,10,0,N,N
511,무창포,00,015,927,810500,0,2,041-411-2411,Y,1,10,0,N,N
709,목포(특),00,015,904,510500,0,0,,N,0,0,0,N,Y
711,불갑산,00,015,904,510500,0,1,,Y,3,6,0,N,N
732,행담도,00,015,903,410700,0,3,041-411-2410,Y,2,5,0,N,N
932,행담도(특),00,015,903,410700,0,0,0345-83-9661,N,2,4,0,N,Y
141,울산(구),00,016,906,710100,0,2,052-254-8800,N,7,14,0,N,N
341,울산(특),00,016,906,710100,0,0,0522-64-1650,N,3,5,0,N,Y
641,울산,08,016,915,900800,0,2,052-254-8800,Y,7,12,0,Y,N
045,흥도,47,017,957,904700,1,0,070-8031-8545,Y,0,3,2,N,N
046,흥도IC,47,017,957,904700,1,0,070-8031-8545,Y,4,4,4,N,N
676,향남,11,017,919,901100,0,2,070-8031-4228,Y,0,0,0,N,N
677,북평택,11,017,919,901100,0,2,070-8031-4229,Y,0,0,0,N,N
820,고양본선,47,017,957,904700,0,0,070-8031-8524,Y,0,0,0,N,N
821,고양지선,47,017,957,904700,0,0,070-8031-8524,Y,0,0,0,N,N
822,고양JCT남,47,017,957,904700,0,0,070-8031-8537,Y,0,0,0,N,N
823,고양JCT북,47,017,957,904700,0,0,070-8031-8541,Y,0,0,0,N,N
824,사리현,47,017,957,904700,0,0,070-8031-8533,Y,0,0,0,N,N
825,북고양설문,47,017,957,904700,0,0,070-8031-8518,Y,0,0,0,N,N
826,금촌,47,017,957,904700,0,0,070-8031-8550,Y,0,0,0,N,N
827,월롱,47,017,957,904700,0,0,070-8031-8554,Y,0,0,0,N,N
828,산단,47,017,957,904700,0,0,,Y,0,0,0,N,N
829,문산본선,47,017,957,904700,0,0,070-8031-8558,Y,0,0,0,N,N
876,양감,11,017,919,901100,0,2,,Y,0,0,0,N,N
877,북평택(특),11,017,919,901100,0,2,,N,0,0,0,N,Y
169,장수,00,020,927,810700,0,2,063-712-2526,Y,2,10,0,N,N
230,팔공산,00,020,905,610700,0,2,053-717-2794,Y,5,10,0,N,N
369,장수(특),00,020,927,810700,0,0,,N,0,0,0,N,Y
430,팔공산(특),00,020,905,610700,0,0,,N,0,0,0,N,Y
524,청통와촌,00,020,905,610700,0,2,054-706-2732,Y,1,10,0,N,N
525,북영천,00,020,905,610700,0,2,054-706-2730,Y,2,10,0,N,N
526,서포항,00,020,905,610700,0,2,054-706-2745,Y,2,10,0,N,N
527,포항,00,020,905,610700,0,2,054-706-2743,Y,4,10,0,N,N
546,진안,00,020,927,810700,0,2,063-712-2532,Y,3,3,0,N,N
725,임고,00,020,905,610700,0,1,054-706-2730,Y,2,10,0,N,N
726,서포항(특),00,020,905,610700,0,0,,N,0,0,0,N,Y
727,포항(특),00,020,905,610700,0,0,,N,0,0,0,N,Y
744,완주(특),00,020,927,810400,0,0,,N,0,0,0,N,Y
745,소양(특),00,020,927,810700,0,0,,N,0,0,0,N,Y
155,논산,00,025,927,810400,0,2,041-411-2407,Y,2,5,0,N,N
156,익산,00,025,927,810400,0,2,063-712-2518,Y,3,5,0,N,N
157,삼례,00,025,927,810100,0,2,063-712-2523,Y,1,2,0,N,N
158,전주,00,025,927,810100,0,2,063-712-2527,Y,3,7,0,N,N
159,서전주,00,025,927,810100,0,2,063-712-2522,Y,2,2,0,N,N
160,김제,00,025,927,810100,0,2,063-712-2505,Y,2,2,0,N,N
161,금산사,00,025,927,810100,0,2,063-712-2506,Y,1,2,0,N,N
162,태인,00,025,927,810100,0,2,063-712-2531,Y,1,2,0,N,N
163,정읍,00,025,927,810100,0,2,063-712-2529,Y,2,5,0,N,N
165,백양사,00,025,904,510200,0,2,061-882-2632,Y,2,4,0,N,N
166,장성,00,025,904,510200,0,2,061-882-2634,Y,2,3,0,N,N
167,광주,00,025,904,510200,0,2,061-882-2631,Y,4,14,0,N,N
261,동광주,00,025,904,510200,0,2,062-719-2692,Y,8,15,0,N,N
262,창평,00,025,904,510200,0,2,061-882-2615,Y,1,3,0,N,N
263,옥과,00,025,904,510700,0,2,061-882-2604,Y,2,2,0,N,N
265,곡성,00,025,904,510700,0,2,061-882-2602,Y,1,2,0,N,N
266,석곡,00,025,904,510300,0,2,061-882-2603,Y,1,2,0,N,N
267,주암송광사,00,025,904,510300,0,2,061-882-2627,Y,2,3,0,N,N
268,승주,00,025,904,510300,0,2,061-882-2625,Y,1,2,0,N,N
355,논산(특),00,025,927,810400,0,0,0461-742-2788,N,1,2,1,N,Y
356,익산(특),00,025,927,810400,0,0,0652-73-6445,N,2,3,0,N,Y
357,삼례(특),00,025,927,810100,0,0,0652-291-2626,N,1,1,0,N,Y
358,전주(특),00,025,927,810100,0,0,0652-212-9772,N,2,4,0,N,Y
359,서전주(특),00,025,927,810100,0,0,0652-291-2626,N,1,1,0,N,Y
360,김제(특),00,025,927,810100,0,0,0658-546-3782,N,1,1,0,N,Y
361,금산사(특),00,025,927,810100,0,0,0658-43-4425,N,1,1,0,N,Y
362,태인(특),00,025,927,810100,0,0,0681-34-4276,N,1,1,0,N,Y
363,정읍(특),00,025,927,810100,0,0,0681-32-1125,N,2,3,0,N,Y
365,백양사(특),00,025,904,510200,0,0,0685-92-9194,N,1,1,0,N,Y
366,장성(특),00,025,904,510200,0,0,0685-92-5851,N,1,2,0,N,Y
367,광주(특),00,025,904,510200,0,0,062-522-0084,N,3,7,0,N,Y
461,동광주(특),00,025,904,510200,0,0,062-228-4611,N,4,6,0,N,Y
462,창평(특),00,025,904,510200,0,0,062-228-4611,N,1,2,0,N,Y
463,옥과(특),00,025,904,510700,0,0,062-228-4611,N,1,2,0,N,Y
465,곡성(특),00,025,904,510700,0,0,062-228-4611,N,1,2,0,N,Y
466,석곡(특),00,025,904,510300,0,0,0661-52-7474,N,1,2,0,N,Y
467,송광사(특),00,025,904,510300,0,0,0661-52-7474,N,1,2,0,N,Y
468,승주(특),00,025,904,510300,0,0,0661-52-7474,N,1,2,0,N,Y
530,내장산,00,025,927,810100,0,2,063- 712-2530,Y,1,10,0,N,N
601,남천안,01,025,907,900100,0,2,041-850-6764,Y,4,6,0,Y,N
602,풍세상,01,025,907,900100,0,2,041-850-6768,Y,1,4,2,Y,N
